# SUPERSEDED 1 Aug 2026 by golden_example_SIVANTO_400_SL_analyst_paste.txt,
# which the analyst designated authoritative. Retained, not deleted: Tasks 34-45
# and the entire run history were graded against this file, and that record has
# to stay readable for the corrections to make sense.
#
# DO NOT grade a run against this file. Where the two disagree — App. Timing
# (other), App. Equipment casing, plant-house and soil Site Status, use-name
# casing and crop-group codes — the paste wins.
#
# NOTE: this file has the SAME 24 columns as the paste. It does NOT contain
# App Rate (lb ai/A), REI or PPE either, so it cannot serve as the source for
# those three. See Task 46.
Reg. #/ File Sym	Physical Form.	Product Name (PBN)	Use	Use Site	App. Target	App. Type	App. Equipment	App. Timing (Site Status)	App. Timing (other)	A.I. Max Single Rate / App. (lb a.i./A)	Max # Apps / C.C.	A. I. Max Total Rate / C.C. (lb a.i./A)	Max # Apps / Yr.	A. I. Max Total Rate / Yr. (lb a.i./A)	MRI (days)	PHI (days)	Additional Information	Max No. of CC/yr	Geographic Restrictions	Drift Restrictions	Soil Restrictions	On-field Non-target Species Restrictions	Additional Restrictions for Use/Use Site
264-1198	SL	SIVANTO® 400 SL	Alfalfa (grown for Forage, Fodder, Seed, Straw, and Hay)	Agricultural (Outdoor)	Foliar	Broadcast	Ground sprayers, fixed or rotary winged aircraft, sprinkler-type overhead chemigation equipment	Post-emergence	When pests occur	0.183	NS	0.365	NS	0.365	10	7	Minimum Application Volume: 10 Gallons/Acre (Ground); 3 Gallons/Acre (Aerial)	1	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Max Release Height (ft): 10, ASABE Droplet Size: Coarse	Not Applicable	Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.	Do not use on Alfalfa Grown for Seed. DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	BRASSICA (COLE) LEAFY VEGETABLES (Crop Group 5)	Agricultural (Outdoor)	Foliar	Broadcast	Ground sprayers, fixed or rotary winged aircraft, sprinkler-type overhead chemigation equipment	Post-emergence	When pests are first detected	0.183	NS	0.365	NS	1.095	7	1	Minimum Application Volume: 10 Gallons/Acre (Ground); 3 Gallons/Acre (Aerial)	3	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Max Release Height (ft): 10, ASABE Droplet Size: Coarse	Not Applicable	Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	BRASSICA (COLE) LEAFY VEGETABLES (Crop Group 5)	Agricultural (Outdoor)	Soil	Chemigation, Injection, In-furrow spray, Drench	Chemigation low-pressure drip, trickle, micro-sprinkler, injection for planting, potting hole drench or post-transplant drench	Pre-emergence/ Post-emergence	when pests occur	0.365	1	0.365	3	1.095	NS	21	Chemigation into root zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Injection below the eventual seed line prior to planting. Place product 3-4 inches below seed line; Potting hole drench at transplanting; Post-transplant drench following setting and covering	3	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Not Applicable	For injection: Place SIVANTO 400 SL 3 - 4 inches below seed line.	Not Applicable	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	BUSHBERRY (Crop Subgroup 13-07B)	Agricultural (Outdoor)	Foliar	Broadcast	Ground sprayers, fixed or rotary winged aircraft, sprinkler-type overhead chemigation equipment	Post-emergence	When pests are first detected	0.183	NS	0.365	NS	0.365	7	3	Minimum Application Volume: 25 Gallons/Acre (Ground); 3 Gallons/Acre (Aerial)	1	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Max Release Height (ft): 10, ASABE Droplet Size: Coarse	Not Applicable	Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	BUSHBERRY (Crop Subgroup 13-07B)	Agricultural (Outdoor)	Soil	Drench, Chemigation	Potting hole drench at transplanting; Chemigation into root-zone through low-pressure drip, trickle, micro-sprinkler or equivalent equipment	At-planting / Post-transplant	When pests occur	0.365	1	0.365	NS	1.095	NS	30	May be applied at the specified dosage by the following methods: Potting hole drench at transplanting; Chemigation into root-zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment	3	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Not Applicable	Not Applicable	Not Applicable	Not commercial product.
264-1198	SL	SIVANTO® 400 SL	BLUEBERRY	Agricultural (Outdoor)	Foliar	Broadcast	Ground sprayers, fixed or rotary winged aircraft, sprinkler-type overhead chemigation equipment	Post-emergence	When pests occur	0.183	NS	0.365	NS	0.365	3	30	Minimum Application Volume: 25 Gallons/Acre (Ground); 3 Gallons/Acre (Aerial)	1	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Max Release Height (ft): 10, ASABE Droplet Size: Coarse	Not Applicable	Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	CANEBERRY (Crop Subgroup 13-07A)	Agricultural (Outdoor)	Foliar	Broadcast	Ground sprayers, fixed or rotary winged aircraft, sprinkler-type overhead chemigation equipment	Post-emergence	When pests are first detected	0.183	NS	0.365	NS	0.365	7	0	Minimum Application Volume: 30 Gallons/Acre (Ground); 3 Gallons/Acre (Aerial)	1	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Max Release Height (ft): 10, ASABE Droplet Size: Coarse	Not Applicable	Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	Cereal Grains (CG 15), Forage, Fodder and Straw of Cereal Grains (CG 16) and Quinoa (including production for seed)	Agricultural (Outdoor)	Foliar	Broadcast	Ground sprayers, fixed or rotary winged aircraft, sprinkler-type overhead chemigation equipment	Post-emergence	When pests are first detected	0.183	NS	0.365	NS	0.365	7	7-days hay, forage, sorghum grown for syrup, or sweet corn; 21-days dried grain, stover or straw	Minimum Application Volume: 10 Gallons/Acre (Ground); 3 Gallons/Acre (Aerial)	1	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Max Release Height (ft): 10, ASABE Droplet Size: Coarse	Not Applicable	Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	CHRISTMAS TREES	Agricultural (Outdoor)	Foliar	Broadcast	Ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment	Post-emergence	When pests are first detected	0.183	NS	NS	NS	NS	7	NS	Start treatments when pests are 1st detected. Use the higher rate for higher pest infestation levels. Minimum Application Volume: 25 Gallons/Acre - Ground; 10 Gallons/Acre - Aerial.	1	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Max Release Height (ft): 10, ASABE Droplet Size: Coarse	Not Applicable	Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	CITRUS FRUITS (Crop Group 10-10)	Agricultural (Outdoor)	Foliar	Broadcast	Ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment	Post-emergence	When pests are first detected	0.183	NS	0.365	NS	0.365	10	1	Minimum Application Volume: 50 Gal/A - Ground; 10 Gal/A - Aerial; For Florida only- Min. Application Volume: 2.5 Gal/A | Ground; For Florida and Texas only: Min. Application Volume: 3 Gal/A | Aerial for control of Asian citrus psyllid. For control or suppression of other pests, application volumes should be increased to provide thorough and complete coverage to obtain adequate control.	1	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Max Release Height (ft): 10, ASABE Droplet Size: Coarse	Not Applicable	Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
